pl_name,pl_masse,ra,dec
"Kepler-248 b",,293.0613138,43.5813577
"Kepler-730 b",,285.5547895,45.5788420
"Kepler-545 b",,290.5663221,40.6920756
"Kepler-654 b",,297.0683931,46.8342497
"Kepler-58 d",,296.3586251,39.1152033
"HIP 54373 c",,166.8643532,-19.2916857
"HD 126525 b",,216.8852514,-51.9329118
"K2-28 b",,335.6233145,-7.9563525
"KELT-8 b",,283.3054489,24.1272483
"Kepler-846 b",,287.0570731,49.0460112
"HD 80653 b",,140.3390845,14.3678691
"HD 85390 b",,147.5105663,-49.7905254
"Kepler-1570 b",,299.8617842,45.8274232
"Kepler-106 d",,300.8640060,44.3375497
"Kepler-82 d",,292.8733696,42.9661583
"Kepler-250 b",,289.5947633,44.1418114
"Kepler-264 c",,292.0446280,37.3761861
"Kepler-758 c",,293.0846115,41.1354049
"Kepler-786 b",,293.7439223,38.9392217
"Kepler-820 b",,291.0201523,39.2206091
"Kepler-1239 b",,293.1273357,42.3200578
"Kepler-1420 b",,296.2038586,42.7778165
"Kepler-406 c",,291.8481764,44.9682807
"Kepler-1289 b",,296.3887670,41.0405090
"Kepler-796 b",,287.3078999,39.1447097
"Kepler-838 b",,285.4354695,45.9759590
"Kepler-1184 b",,291.2820310,46.9659514
"Kepler-1219 b",,297.2158443,47.3785082
"HD 45364 b",,96.4105736,-31.4810037
"HD 45364 c",,96.4105736,-31.4810037
"GJ 3082 b",,18.6432425,-53.9407751
"HAT-P-8 b",483.08000,343.0414932,35.4471778
"OGLE-2012-BLG-0838L b",53.10000,273.0030830,-25.7116111
"Kepler-160 b",,287.7735730,42.8692755
"Kepler-1678 b",,292.5916297,38.3995629
"Kepler-379 c",,295.7010981,38.9458209
"Kepler-49 e",,292.2945208,40.5918123
"Kepler-129 c",,285.3111845,47.8484775
"Kepler-962 b",,295.3131906,46.2375024
"Kepler-118 c",,299.2131881,41.4248195
"Kepler-332 c",,286.6627811,47.4136938
"Kepler-1044 b",,293.1444017,46.6662155
"Kepler-134 b",,284.7391156,49.5984448
"Kepler-589 b",,280.6414331,47.7520581
"MOA-2009-BLG-319L b",67.30000,271.7422080,-26.8196917
"HD 9446 b",,23.3350424,29.2649187
"Kepler-518 b",,287.0900190,41.3737576
"Kepler-1428 b",,297.6422563,49.5949580
"Kepler-521 b",,298.8163801,43.9980203
"Kepler-1054 b",,290.6011085,44.5563604
"Kepler-1061 b",,296.2300306,50.2752091
"Kepler-1095 b",,293.2624215,41.3650155
"Kepler-1158 b",,292.2339048,41.5751832
"K2-72 e",,334.6227504,-9.6120084
"KOI-142 b",,291.1481028,40.6694130
"Kepler-615 b",,282.4506927,46.3213671
"Kepler-384 c",,286.0261113,44.7828571
"Kepler-1200 b",,296.6034317,44.1292537
"Kepler-1203 b",,292.7734523,44.1780880
"Kepler-430 c",,292.8085984,49.5794242
"Kepler-1384 b",,296.2151275,39.5270248
"Kepler-1695 b",,293.6193001,46.4134015
"Kepler-105 c",,287.8872376,46.2761224
"HD 18742 b",,45.0443115,-20.8027024
"Kepler-683 b",,291.4399598,37.9056293
"MASCARA-4 b",985.27300,147.5800667,-66.1139253
"Kepler-1271 b",,286.3442954,37.4119347
"Kepler-1348 b",,292.0874126,49.7887090
"Kepler-446 d",,282.2501047,44.9210020
"Kepler-1370 c",,284.5656897,41.7784781
