pl_name,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,sy_dist
"Kepler-50 b",1,2,0,17.29263,80.87004,7.81285840,1.560,250.1100000
"Kepler-1032 b",1,1,0,12.11568,71.99772,3.29011795,1.870,673.0100000
"Kepler-26 e",1,4,0,17.99282,76.67999,46.82771400,2.340,335.3070000
"Kepler-1623 b",1,1,0,9.02309,72.95966,4.36128348,1.310,837.4810000
"Kepler-349 c",1,2,0,11.61671,77.38633,12.24764145,2.610,940.7240000
"Kepler-182 b",1,2,0,16.48159,81.84308,9.82578435,2.940,1549.0900000
"HIP 41378 c",1,5,0,25.64577,214.52630,31.69780000,2.560,106.2890000
"NGC 2682 YBP 401 b",1,1,0,31.84602,215.83597,4.08700000,,830.8220000
"K2-115 b",1,1,0,26.51650,212.27401,20.27200000,,413.5910000
"K2-37 b",1,3,0,18.77075,350.73677,4.44118000,1.660,179.9430000
"GJ 3998 c",1,2,0,26.15047,32.27249,13.74000000,,18.1459000
"Kepler-601 b",1,1,0,18.42086,71.57819,5.37886294,,414.8250000
"Kepler-709 b",1,1,0,11.63797,74.82489,16.08523449,,664.8430000
"Kepler-710 b",1,1,0,11.87064,75.06752,4.34727172,,1448.3400000
"Kepler-713 b",1,1,0,9.61971,76.62730,7.41114851,,1089.8700000
"Kepler-79 b",1,4,0,7.23801,79.57854,13.48452939,,1020.7200000
"Kepler-808 b",1,1,0,14.57061,80.28908,0.63133235,1.460,
"Kepler-365 c",1,2,0,12.48135,82.11766,17.78355980,1.550,1038.9900000
"Kepler-1516 b",1,1,0,12.97156,76.60095,7.25931979,1.750,1358.9500000
"K2-34 b",1,1,0,31.13427,202.13873,2.99565400,16.141,348.6460000
"V830 Tau b",1,1,0,-15.64797,173.98885,4.93000000,,130.1110000
"Kepler-1451 b",1,1,0,9.85104,73.49720,35.62219812,,1058.7200000
"Kepler-1541 b",1,1,0,19.23140,77.84505,8.40688262,,416.6920000
"Kepler-204 c",1,2,0,15.95528,72.12006,25.66180924,,686.7230000
"Kepler-221 d",1,4,0,10.80167,80.37293,10.04157503,,385.2310000
"Kepler-250 c",1,3,0,14.04353,75.65661,7.15682722,,760.5850000
"Kepler-184 d",1,3,0,12.04501,75.41102,29.02231937,,610.3260000
"Kepler-829 b",1,1,0,18.29325,71.95093,6.88338570,,1073.7600000
"Kepler-82 e",1,5,0,11.39306,75.61681,5.90225962,,904.3260000
"Kepler-293 b",1,2,0,15.51005,73.03773,19.25406930,,974.6330000
"Kepler-304 b",1,4,0,9.24910,73.98630,3.29570324,,434.6840000
"K2-98 b",1,1,0,26.13802,213.02652,10.13892836,,518.6250000
"TRAPPIST-1 f",1,7,0,-56.64891,69.71519,9.20669000,1.045,
"Wolf 1061 c",1,3,0,23.67715,3.34702,17.87190000,,4.3059200
"Kepler-42 c",1,3,0,12.54674,76.91718,0.45328731,0.730,40.0595000
"HD 20794 c",1,4,0,-56.06514,250.73443,43.17000000,,6.0027800
"WASP-14 b",3,1,0,66.33386,25.73857,2.24375200,14.360,161.9970000
"Kepler-231 b",1,2,0,14.06137,82.91642,10.06523212,,316.6180000
"Kepler-49 c",1,4,0,10.71393,73.25730,10.91271752,,311.2220000
"Kepler-659 b",1,1,0,16.64683,78.29647,17.67178716,,722.6400000
"Kepler-834 b",1,1,0,16.11418,75.89955,13.32381364,,633.9370000
"K2-24 b",1,2,0,19.20525,349.99931,20.88501600,5.256,170.5620000
"HAT-P-2 b",1,1,0,45.23230,65.02085,5.63347200,,127.7740000
"WASP-14 b",3,1,0,66.33386,25.73857,2.24376690,,161.9970000
"HD 45652 b",1,1,0,0.11002,200.68451,43.60000000,,34.8541000
"HAT-P-12 b",1,1,0,68.87632,87.99255,,,142.7510000
"Qatar-2 b",1,1,0,53.16778,327.95632,1.33711677,12.498,181.3740000
"Kepler-279 c",1,3,0,14.72413,73.14702,35.73500000,5.500,1037.4000000
"Kepler-60 b",1,3,0,13.68998,73.69945,7.13300000,1.600,1025.1000000
"HD 76920 b",1,1,0,-14.09976,282.95180,415.40000000,,184.0310000
"K2-27 b",3,1,0,56.98688,261.02749,6.77138900,4.580,249.6450000
"Kepler-240 b",1,2,0,11.55622,73.01252,,1.447,746.9270000
"Kepler-292 e",1,5,0,9.25750,76.12806,,2.164,1056.4800000
"Kepler-1222 b",1,1,0,13.02315,82.12187,,0.766,415.2180000
"Kepler-916 b",1,1,0,13.91322,77.79338,,1.861,830.7120000
"Kepler-928 b",1,1,0,12.73917,73.33267,,1.416,508.8090000
"Kepler-967 c",1,2,0,13.78488,69.30269,198.71038606,,568.5460000
