pl_name,discoverymethod,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,disc_year
"HD 47536 b","Radial Velocity",1,1,0,-16.77741,241.18153,712.13000000,12.600,2002
"HD 114729 b","Radial Velocity",2,1,0,30.77939,308.19408,1121.79000000,13.900,2002
"HD 128311 b","Radial Velocity",1,2,0,59.83597,2.72920,453.01900000,13.500,2002
"HD 168746 b","Radial Velocity",1,1,0,1.03031,18.96358,6.40400000,11.100,2002
"HD 2039 b","Radial Velocity",1,1,0,-60.08347,310.40299,1120.00000000,12.700,2002
"HD 37124 b","Radial Velocity",1,3,0,-5.97486,185.96381,154.37800000,14.000,2002
"HD 37124 c","Radial Velocity",1,3,0,-5.97486,185.96381,885.50000000,14.100,2002
"HD 83443 b","Radial Velocity",1,1,0,6.67887,269.59585,2.98570000,12.700,2002
"HD 108147 b","Radial Velocity",1,1,0,-1.29064,300.12454,10.89850000,10.900,2002
"HD 108874 b","Radial Velocity",1,2,0,83.62475,253.57668,394.48123000,13.600,2002
"HD 162020 b","Radial Velocity",1,1,0,-6.72629,350.73899,8.42820000,12.500,2002
"HD 196050 b","Radial Velocity",3,1,0,-36.35873,335.91879,1378.00000000,13.100,2002
"HD 40979 b","Radial Velocity",3,1,0,10.87165,168.49578,264.14999000,12.900,2002
"HD 141937 b","Radial Velocity",1,1,0,26.78098,351.88911,653.21997000,12.500,2002
"55 Cnc d","Radial Velocity",2,5,0,37.69663,196.79526,5574.20000000,13.000,2002
"14 Her b","Radial Velocity",1,1,0,46.94447,69.16849,1773.40002000,12.900,2002
"HD 8574 b","Radial Velocity",1,1,0,-33.72006,131.85171,227.00000000,13.400,2002
"HD 106252 b","Radial Velocity",1,1,0,70.71215,273.50460,1531.00000000,12.700,2002
"HD 73526 b","Radial Velocity",1,2,0,-0.18559,260.68043,188.30000000,13.100,2002
"HD 49674 b","Radial Velocity",1,1,0,17.37137,175.33928,4.94737000,6.200,2002
"HD 50554 b","Radial Velocity",1,1,0,11.46926,191.41044,1293.00000000,12.900,2002
"HD 121504 b","Radial Velocity",1,1,0,5.65692,312.08414,63.33000000,13.600,2003
"HD 23596 b","Radial Velocity",2,1,0,-10.90020,155.55181,1561.00000000,12.500,2003
"PSR B1620-26 b","Pulsar Timing",2,1,0,15.95997,350.97627,,13.300,2003
"HD 82943 c","Radial Velocity",1,2,0,28.25070,245.84326,220.07800000,13.400,2003
"HD 70642 b","Radial Velocity",1,1,0,-1.67291,257.61105,2124.54000000,13.400,2003
"HD 114386 b","Radial Velocity",1,1,0,27.64978,307.37226,937.70001000,13.700,2003
"HD 147513 b","Radial Velocity",2,1,0,7.21242,341.62110,528.40000000,13.700,2003
"HD 169830 c","Radial Velocity",1,2,0,-8.47110,3.68683,2102.00000000,13.000,2003
"HD 19994 b","Radial Velocity",3,1,0,-47.34122,181.50523,466.20000000,13.600,2003
"HD 3651 b","Radial Velocity",1,1,0,-41.53458,119.16987,62.25000000,10.100,2003
"HD 216770 b","Radial Velocity",1,1,0,-64.29217,27.30726,118.45000000,14.100,2003
"HD 65216 b","Radial Velocity",3,2,0,-17.61436,276.27361,577.60000000,13.600,2003
"HD 82943 b","Radial Velocity",1,2,0,28.25070,245.84326,441.47000000,13.500,2003
"HD 6434 b","Radial Velocity",1,1,0,-77.33534,291.21692,21.99800000,14.200,2003
"HD 111232 b","Radial Velocity",1,1,0,-5.55411,302.69417,1143.00000000,12.700,2003
"HD 190360 b","Radial Velocity",2,2,0,-0.67616,67.41056,2915.03687000,13.500,2003
"HD 142415 b","Radial Velocity",1,1,0,-5.25392,324.17725,386.29999000,13.500,2003
"HD 104985 b","Radial Velocity",1,1,0,39.91754,126.32086,199.50500000,12.600,2003
"HD 41004 B b","Radial Velocity",2,2,0,-28.19634,255.48817,1.32830000,12.100,2003
"HD 74156 c","Radial Velocity",1,2,0,26.70482,221.98588,2473.00000000,12.600,2003
"HD 74156 b","Radial Velocity",1,2,0,26.70482,221.98588,51.64500000,13.400,2003
"gam Cep b","Radial Velocity",2,1,0,15.31627,118.99221,903.30000000,13.400,2003
"OGLE-TR-10 b","Transit",1,1,0,-1.57666,359.85149,3.10127800,14.011,2004
"HD 37605 b","Radial Velocity",1,2,0,-12.89566,199.10550,55.01292000,13.200,2004
"OGLE-TR-132 b","Transit",1,1,0,-2.34319,289.23465,1.68986800,13.450,2004
"HD 88133 b","Radial Velocity",1,1,0,51.89768,217.81208,3.41488400,13.800,2004
"HD 160691 c","Radial Velocity",1,4,0,-11.49850,340.05994,4205.80000000,13.400,2004
"55 Cnc e","Radial Velocity",2,5,0,37.69663,196.79526,0.73654740,1.875,2004
"OGLE-TR-111 b","Transit",1,1,0,-1.70579,289.27912,4.01444630,11.422,2004
"TrES-1 b","Transit",2,1,0,13.44081,67.46434,3.03007000,12.666,2004
"HD 202206 c","Radial Velocity",2,1,0,-40.50460,27.94935,1260.00000000,12.200,2004
"55 Cnc c","Radial Velocity",2,5,0,37.69663,196.79526,44.39890000,8.510,2004
"HD 41004 A b","Radial Velocity",2,2,0,-28.19633,255.48818,963.00000000,13.200,2004
"OGLE-2003-BLG-235L b","Microlensing",1,1,0,-3.69455,2.20260,,13.200,2004
"HD 154857 b","Radial Velocity",1,2,0,-10.02581,333.28825,408.60001000,13.300,2004
"HD 188015 b","Radial Velocity",2,1,0,0.54239,64.56026,461.20000000,13.600,2004
"HD 117207 b","Radial Velocity",1,1,0,26.66515,311.55142,2621.75000000,13.400,2004
"HD 45350 b","Radial Velocity",1,1,0,12.61321,175.38806,963.60000000,13.500,2004
"DH Tau b","Imaging",1,1,0,-14.93888,171.89958,,30.264,2004
"HD 117618 b","Radial Velocity",1,1,0,15.02765,310.11149,25.80000000,8.590,2004
"2MASS J12073346-3932539 b","Imaging",1,1,0,22.54309,293.79011,,12.900,2004
"HD 99492 b","Radial Velocity",2,1,0,58.50710,259.27385,17.04310000,5.020,2004
"HD 160691 d","Radial Velocity",1,4,0,-11.49850,340.05994,9.63860000,3.240,2004
"OGLE-TR-113 b","Transit",1,1,0,-1.78974,289.20142,1.43247520,12.251,2004
"HD 183263 b","Radial Velocity",1,2,0,-4.30987,44.60924,626.51599000,13.000,2004
"HD 330075 b","Radial Velocity",1,1,0,3.37645,329.80573,3.38773000,14.300,2004
"GQ Lup b","Imaging",1,1,0,14.51078,338.92530,,33.600,2004
"GJ 436 b","Radial Velocity",1,1,0,74.57238,210.55638,2.64388312,4.170,2004
"HD 208487 b","Radial Velocity",1,1,0,-52.12760,5.41027,130.08000000,14.200,2004
"HD 128311 c","Radial Velocity",1,2,0,59.83597,2.72920,921.53800000,13.000,2005
"HD 212301 b","Radial Velocity",2,1,0,-36.78034,311.90842,2.24571000,14.200,2005
"HD 102117 b","Radial Velocity",1,1,0,3.05495,294.36019,20.81330000,8.470,2005
"HD 27894 b","Radial Velocity",1,3,0,-42.00943,270.09987,18.02000000,14.100,2005
"HD 33564 b","Radial Velocity",1,1,0,22.64801,133.73361,388.00000000,12.500,2005
"HD 107148 b","Radial Velocity",2,1,0,58.57514,287.37149,48.05600000,9.600,2005
"HD 109749 b","Radial Velocity",2,1,0,21.98007,300.04152,5.23989100,11.100,2005
"HD 66428 b","Radial Velocity",1,1,0,15.41735,222.42686,2263.12000000,13.100,2005
"HD 11977 b","Radial Velocity",1,1,0,-48.35566,293.92489,711.00000000,12.700,2005
"HD 142022 A b","Radial Velocity",2,1,0,-23.31633,307.71909,1928.00000000,12.900,2005
"HD 164922 b","Radial Velocity",1,3,0,21.78318,52.29591,1207.00000000,13.300,2005
"HIP 14810 b","Radial Velocity",1,3,0,-31.09476,161.55108,6.67389200,13.000,2005
"HD 13189 b","Radial Velocity",1,1,0,-27.70854,141.56782,471.60001000,12.400,2005
"HD 4308 b","Radial Velocity",1,1,0,-51.46078,304.05288,15.56000000,4.120,2005
"HD 63454 b","Radial Velocity",1,1,0,-24.13856,290.35446,2.81805000,12.310,2005
"HD 50499 b","Radial Velocity",1,2,0,-14.62598,243.87782,2447.10000000,13.500,2005
"HD 217107 c","Radial Velocity",1,2,0,-53.32407,70.47402,4270.00000000,13.200,2005
"HD 149026 b","Radial Velocity",1,1,0,43.28357,61.29711,2.87589000,8.295,2005
"HD 2638 b","Radial Velocity",3,1,0,-68.03566,108.54273,3.44420000,14.300,2005
"HD 189733 b","Radial Velocity",2,1,0,-3.92282,60.96214,2.21857567,12.666,2005
"HD 37124 d","Radial Velocity",1,3,0,-5.97486,185.96381,1862.00000000,14.000,2005
"OGLE-2005-BLG-071L b","Microlensing",1,1,0,-3.78643,355.58019,,13.000,2005
"HD 101930 b","Radial Velocity",2,1,0,3.68473,294.01002,70.46000000,10.600,2005
"GJ 876 d","Radial Velocity",1,4,0,-59.63511,52.00313,1.93778000,2.510,2005
"HD 118203 b","Radial Velocity",1,1,0,62.26188,109.34478,6.13350000,13.200,2005
"OGLE-2005-BLG-390L b","Microlensing",1,1,0,-2.36161,359.73255,3285.00000000,2.210,2005
"HD 11964 b","Radial Velocity",2,2,0,-67.09225,168.57627,1945.00000000,14.100,2005
"HD 99109 b","Radial Velocity",1,1,0,54.48302,263.23816,439.29999000,14.300,2005
"HD 108874 c","Radial Velocity",1,2,0,83.62475,253.57668,1624.00000000,13.800,2005
"HD 81040 b","Radial Velocity",1,1,0,42.32614,209.36326,1001.70001000,12.600,2005
"HD 190360 c","Radial Velocity",2,2,0,-0.67616,67.41056,17.11100000,4.590,2005
"HD 149143 b","Radial Velocity",1,1,0,31.48148,17.51640,4.07182000,13.600,2005
"GJ 581 b","Radial Velocity",1,3,0,40.02208,354.07234,5.36860000,4.110,2005
"AB Pic b","Imaging",1,1,0,-26.93081,266.94347,,12.300,2005
"HD 73526 c","Radial Velocity",1,2,0,-0.18559,260.68043,379.10000000,13.300,2005
"HD 93083 b","Radial Velocity",1,1,0,22.22073,274.64523,143.58000000,13.400,2005
"XO-1 b","Transit",1,1,0,48.02124,45.85302,3.94153000,12.778,2006
"HD 23127 b","Radial Velocity",1,1,0,-46.48356,273.94190,1211.17000000,13.500,2006
"HD 154345 b","Radial Velocity",1,1,0,37.66299,73.02692,3341.55884000,13.900,2006
"CHXR 73 b","Imaging",1,1,0,-15.92181,297.27760,,12.300,2006
"HD 160691 e","Radial Velocity",1,4,0,-11.49850,340.05994,310.55000000,14.200,2006
"eps Tau b","Radial Velocity",1,1,0,-19.92339,177.59682,594.90000000,12.600,2006
"HD 102195 b","Radial Velocity",1,1,0,61.04918,267.21723,4.11377000,14.200,2006
"HD 33283 b","Radial Velocity",2,1,0,-33.50524,228.49712,18.19910000,12.500,2006
"HAT-P-1 b","Transit",2,1,0,-19.03641,99.79172,4.46529976,14.785,2006
"4 UMa b","Radial Velocity",1,1,0,35.95654,151.35882,269.30000000,12.700,2006
"HD 20782 b","Radial Velocity",2,5,0,-57.27708,224.80293,597.06430000,13.600,2006
"OGLE-2005-BLG-169L b","Microlensing",1,1,0,-4.74007,0.67689,,3.840,2006
"SWEEPS-4 b","Transit",1,1,0,-2.62612,1.26009,4.20000000,9.079,2006
"TrES-2 b","Transit",2,1,0,17.80790,79.84865,2.47063000,15.244,2006
"HD 24040 b","Radial Velocity",1,1,0,-27.78104,172.29324,3668.00000000,13.000,2006
"HN Peg b","Imaging",1,1,0,-28.27039,69.85975,,11.777,2006
"HD 224693 b","Radial Velocity",1,1,0,-77.40177,52.02077,26.69040000,14.000,2006
"HD 10647 b","Radial Velocity",1,1,0,-61.76870,286.89639,989.20000000,13.800,2006
"HD 159868 b","Radial Velocity",1,2,0,-6.31279,347.17359,1184.10000000,13.300,2006
"HD 86081 b","Radial Velocity",2,1,0,37.60951,242.20046,2.13784310,13.600,2006
"GJ 849 b","Radial Velocity",1,1,0,-45.40318,55.89444,1882.00000000,13.800,2006
"HD 69830 c","Radial Velocity",1,3,0,12.82251,234.56776,31.56000000,3.460,2006
"HD 69830 d","Radial Velocity",1,3,0,12.82251,234.56776,197.00000000,4.450,2006
"HIP 14810 c","Radial Velocity",1,3,0,-31.09476,161.55108,147.74700000,13.600,2006
"Oph 11 b","Imaging",1,1,0,17.80321,352.67855,7300000.00000000,12.300,2006
"SWEEPS-11 b","Transit",1,1,0,-2.65616,1.26678,1.79600000,12.666,2006
"HD 185269 b","Radial Velocity",3,1,0,3.58055,63.27132,6.83776000,13.800,2006
