pl_name,discoverymethod,sy_snum,sy_pnum,sy_mnum,glat,glon,pl_orbper,pl_rade,disc_year
"GJ 667 C g","Radial Velocity",3,5,0,1.41002,351.84167,256.20000000,1.990,2013
"Kepler-282 d","Transit",1,4,0,17.53304,74.87605,24.80600000,2.460,2013
"Kepler-350 d","Transit",1,3,0,15.11288,70.17289,26.13600000,2.800,2013
"Kepler-37 d","Transit",1,4,0,17.84364,74.43727,39.79220000,1.940,2013
"Kepler-410 A b","Transit",2,1,0,18.66425,74.81395,17.83364800,2.838,2013
"Kepler-411 b","Transit",2,4,0,17.40063,80.24936,3.00515600,2.401,2013
"Kepler-37 c","Transit",1,4,0,17.84364,74.43727,21.30200000,0.750,2013
"Kepler-305 b","Transit",1,4,0,5.97338,75.59975,5.48700000,3.600,2013
"Kepler-276 d","Transit",1,3,0,9.13322,72.30607,48.64800000,2.800,2013
"Kepler-67 b","Transit",1,1,0,12.01771,78.95460,15.72590000,2.940,2013
"KOI-94 b","Transit",2,4,0,7.98316,76.22605,3.74320800,1.710,2013
"KOI-351 d","Transit",1,8,0,19.25567,79.26947,59.73667000,2.870,2013
"KOI-94 e","Transit",2,4,0,7.98316,76.22605,54.32031000,6.560,2013
"Kepler-114 c","Transit",1,3,0,13.01505,80.94435,8.04100000,1.600,2013
"Kepler-87 c","Transit",1,2,0,10.10838,80.91089,191.23180000,6.140,2013
"Kepler-68 c","Transit",2,3,0,15.15359,80.69124,9.60510000,0.920,2013
"Kepler-328 b","Transit",1,2,0,8.07033,73.99950,34.92100000,2.300,2013
"KOI-142 b","Transit",1,3,0,11.52808,72.93478,10.91647000,3.438,2013
"HIP 91258 b","Radial Velocity",1,1,0,25.35738,91.36113,5.05050000,13.700,2013
"CoRoT-26 b","Transit",1,1,0,5.92600,37.74453,4.20474000,14.120,2013
"Kepler-279 c","Transit",1,3,0,14.72413,73.14702,35.73600000,4.300,2013
"2MASS J01033563-5515561 AB b","Imaging",2,1,0,-61.77586,299.26888,,12.300,2013
"HD 65216 c","Radial Velocity",3,2,0,-17.61436,276.27361,5370.00000000,13.400,2013
"BD-06 1339 b","Radial Velocity",1,2,0,-15.71602,211.65797,3.87280000,2.850,2013
"BD+15 2940 b","Radial Velocity",1,1,0,44.78011,28.10432,137.48000000,13.700,2013
"HD 95086 b","Imaging",1,1,0,-8.07541,292.80268,,12.900,2013
"Kepler-276 c","Transit",1,3,0,9.13322,72.30607,31.88400000,2.900,2013
"Kepler-145 c","Transit",1,2,0,13.04277,76.57260,42.88200000,4.320,2013
"DENIS-P J082303.1-491201 b","Astrometry",1,1,0,-6.82669,265.61638,246.36000000,11.900,2013
"HIP 63242 b","Radial Velocity",1,1,0,-2.78202,303.56064,124.60000000,12.500,2013
"GJ 504 b","Imaging",1,1,0,71.31364,322.78669,,13.000,2013
"2MASS J01225093-2439505 b","Imaging",1,1,0,-82.51990,195.45385,,11.209,2013
"HD 40307 f","Radial Velocity",1,5,0,-30.34064,268.81455,51.76000000,2.130,2013
"KOI-351 f","Transit",1,8,0,19.25567,79.26947,124.91440000,2.880,2013
"HD 106906 b","Imaging",1,1,0,6.58881,298.21871,,12.400,2013
"OGLE-2012-BLG-0358L b","Microlensing",1,1,0,2.98611,3.65449,,13.400,2013
"POTS-1 b","Transit",1,1,0,-4.06586,307.19384,3.16062960,10.548,2013
"PH2 b","Transit",1,1,0,17.05061,83.15282,282.52550000,10.120,2013
"GJ 163 b","Radial Velocity",1,3,0,-45.32001,262.77663,8.63182000,3.250,2013
"HD 159243 c","Radial Velocity",1,2,0,19.95000,29.07673,248.40000000,13.400,2013
"Kepler-87 b","Transit",1,2,0,10.10838,80.91089,114.73635000,13.490,2013
"Kepler-277 b","Transit",1,2,0,14.03810,69.94431,17.32400000,2.920,2013
"Kepler-37 b","Transit",1,4,0,17.84364,74.43727,13.36731000,0.296,2013
"Kepler-350 c","Transit",1,3,0,15.11288,70.17289,17.84900000,3.100,2013
"Kepler-177 c","Transit",1,2,0,16.72431,75.49689,49.40926000,8.730,2013
"Kepler-69 c","Transit",1,2,0,11.99414,77.48226,242.46130000,1.710,2013
"Kepler-61 b","Transit",1,1,0,9.58157,76.00967,59.87756000,2.150,2013
"Kepler-114 d","Transit",1,3,0,13.01505,80.94435,11.77600000,2.530,2013
"Kepler-68 d","Radial Velocity",2,3,0,15.15359,80.69124,634.60000000,13.900,2013
"KOI-351 g","Transit",1,8,0,19.25567,79.26947,210.60697000,8.100,2013
"Kepler-307 c","Transit",1,2,0,6.95002,75.10988,13.07290000,2.200,2013
"Kepler-307 b","Transit",1,2,0,6.95002,75.10988,10.42080000,2.430,2013
"HD 285507 b","Radial Velocity",1,1,0,-26.33885,177.11309,6.08810000,13.800,2013
"GJ 328 b","Radial Velocity",1,1,0,27.99859,226.70991,4100.00000000,13.300,2013
"Kepler-92 c","Transit",1,3,0,13.31439,73.08205,26.72300000,2.600,2013
"HATS-2 b","Transit",1,1,0,37.92210,283.96382,1.35413300,13.092,2013
"KOI-142 c","Transit",1,3,0,11.52808,72.93478,22.26492000,14.000,2013
"GJ 163 d","Radial Velocity",1,3,0,-45.32001,262.77663,603.95116000,5.920,2013
"KOI-94 d","Transit",2,4,0,7.98316,76.22605,22.34298900,11.270,2013
"Kepler-77 b","Transit",1,1,0,14.11880,75.85191,3.57878087,10.761,2013
"HD 233604 b","Radial Velocity",1,1,0,41.83189,163.93545,192.00000000,12.700,2013
"KELT-3 b","Transit",2,1,0,51.38017,181.25553,2.70339000,17.486,2013
"Kepler-279 d","Transit",1,3,0,14.72413,73.14702,54.41400000,3.100,2013
"Kepler-78 b","Transit",2,1,0,11.49947,77.25546,0.35500744,1.121,2013
"HD 40307 g","Radial Velocity",1,5,0,-30.34064,268.81455,197.80000000,2.560,2013
"MOA-2010-BLG-328L b","Microlensing",1,1,0,-3.21385,359.83600,,2.990,2013
"WASP-8 c","Radial Velocity",2,2,0,-76.39546,354.25134,4323.00000000,12.500,2013
"KOI-351 b","Transit",1,8,0,19.25567,79.26947,7.00815100,1.310,2013
"Kepler-177 b","Transit",1,2,0,16.72431,75.49689,36.86010000,3.500,2013
"Kepler-282 e","Transit",1,4,0,17.53304,74.87605,44.34700000,3.100,2013
"Kepler-305 c","Transit",1,4,0,5.97338,75.59975,8.29100000,3.300,2013
"Kepler-128 b","Transit",1,2,0,18.70795,73.49392,15.09000000,1.430,2013
"Kepler-238 f","Transit",1,5,0,13.74892,71.83506,50.44700000,2.000,2013
"Kepler-328 c","Transit",1,2,0,8.07033,73.99950,71.31200000,5.400,2013
"Kepler-396 b","Transit",1,2,0,12.11636,82.13508,42.99400000,3.500,2013
"HD 109271 c","Radial Velocity",1,2,0,51.00899,295.97556,30.93000000,5.270,2013
"HD 120084 b","Radial Velocity",1,1,0,38.72676,119.56432,2082.00000000,12.900,2013
"HD 103774 b","Radial Velocity",2,1,0,48.59416,282.54664,5.88810000,13.300,2013
"HD 159243 b","Radial Velocity",1,2,0,19.95000,29.07673,12.62000000,13.700,2013
"KOI-351 h","Transit",1,8,0,19.25567,79.26947,331.60059000,11.300,2013
"Kepler-145 b","Transit",1,2,0,13.04277,76.57260,22.95100000,2.650,2013
"91 Aqr b","Radial Velocity",3,1,0,-61.11327,67.07416,181.40000000,13.100,2013
"HD 13908 c","Radial Velocity",1,2,0,4.21860,131.74451,931.00000000,12.800,2013
"Kepler-63 b","Transit",1,1,0,16.43629,80.68879,9.43415050,6.110,2013
"Kepler-62 d","Transit",1,5,0,18.69539,75.03750,18.16406000,1.950,2013
"MOA-2008-BLG-379L b","Microlensing",1,1,0,-3.11294,0.37632,,13.000,2013
"OGLE-2012-BLG-0406L b","Microlensing",1,1,0,-2.21994,359.54055,,13.200,2013
"ROXs 42 B b","Imaging",2,1,0,15.98970,353.70701,,12.500,2013
"ome Ser b","Radial Velocity",2,1,0,40.50112,10.53785,277.02000000,13.500,2013
"tau Gem b","Radial Velocity",1,1,0,17.19879,187.21879,305.50000000,12.100,2013
"GJ 163 c","Radial Velocity",1,3,0,-45.32001,262.77663,25.63058000,2.500,2013
"GJ 667 C f","Radial Velocity",3,5,0,1.41002,351.84167,39.02600000,1.450,2013
"GJ 667 C e","Radial Velocity",3,5,0,1.41002,351.84167,62.24000000,1.450,2013
"Kepler-238 e","Transit",1,5,0,13.74892,71.83506,23.65400000,5.600,2013
"Kepler-62 b","Transit",1,5,0,18.69539,75.03750,5.71493200,1.310,2013
"Kepler-62 c","Transit",1,5,0,18.69539,75.03750,12.44170000,0.540,2013
"Kepler-214 b","Transit",1,2,0,17.53880,75.05181,15.66054400,2.610,2014
"Kepler-232 c","Transit",1,2,0,13.28087,83.99267,11.37934900,3.830,2014
"Kepler-330 c","Transit",1,2,0,15.05947,75.93709,15.95538700,1.950,2014
"Kepler-127 d","Transit",1,3,0,17.64003,76.21619,48.63040800,2.640,2014
"Kepler-409 b","Transit",1,1,0,12.61690,79.43306,68.95840000,1.190,2014
"Kepler-82 e","Transit",1,5,0,11.39306,75.61681,5.90220600,2.470,2014
"Kepler-247 b","Transit",1,3,0,14.22116,74.32823,3.33616000,1.640,2014
"Kepler-303 b","Transit",1,2,0,18.16052,73.34339,1.93705500,0.890,2014
"Kepler-334 c","Transit",1,3,0,16.79191,77.79017,12.75800500,1.430,2014
"Kepler-325 b","Transit",1,3,0,16.18136,81.11486,4.54443900,2.910,2014
"Kepler-104 c","Transit",2,3,0,14.56786,73.18543,23.66820500,3.130,2014
"Kepler-300 c","Transit",1,2,0,12.43657,81.53022,40.71495500,2.250,2014
"GJ 27.1 b","Radial Velocity",1,1,0,-72.72011,309.84569,15.81900000,3.660,2014
"Kepler-306 c","Transit",1,4,0,13.29617,72.02081,7.24019300,2.350,2014
"Kepler-317 b","Transit",1,2,0,8.18819,72.81063,5.52424200,2.090,2014
"Kepler-299 c","Transit",1,4,0,19.77727,78.26193,6.88587500,2.650,2014
"Kepler-295 b","Transit",1,3,0,17.29955,75.61222,12.64516400,1.220,2014
"Kepler-311 b","Transit",1,2,0,20.02263,76.49308,9.17609200,1.700,2014
"Kepler-338 b","Transit",1,4,0,17.24444,70.48314,13.72697600,2.440,2014
"Kepler-384 b","Transit",1,2,0,16.63717,75.22928,22.59705300,1.120,2014
"Kepler-221 d","Transit",1,4,0,10.80167,80.37293,10.04156000,2.730,2014
"Kepler-329 b","Transit",1,2,0,8.43218,79.85386,7.41639700,1.400,2014
"Kepler-132 d","Transit",2,4,0,17.26662,71.10178,18.01019900,1.550,2014
"Kepler-385 c","Transit",1,3,0,13.76677,82.84035,15.16316100,3.040,2014
"Kepler-138 d","Transit",1,3,0,13.17249,75.10743,23.08810000,1.212,2014
"Kepler-165 c","Transit",1,2,0,21.12868,76.92011,15.31299000,2.230,2014
"Kepler-197 d","Transit",2,4,0,13.35928,83.30414,15.67756300,1.220,2014
"Kepler-123 b","Transit",1,2,0,8.63544,76.88818,17.23236600,2.940,2014
"Kepler-393 c","Transit",1,2,0,13.57678,77.06756,14.61361200,1.330,2014
"Kepler-263 c","Transit",1,2,0,9.22104,70.58352,47.33277300,2.470,2014
"Kepler-237 c","Transit",1,2,0,16.94089,70.20006,8.10363600,2.080,2014
"Kepler-169 e","Transit",1,5,0,15.17842,71.50909,13.76710200,2.200,2014
"Kepler-219 c","Transit",1,3,0,15.64895,77.88787,22.71461300,3.580,2014
"Kepler-113 b","Transit",1,2,0,17.68980,81.73182,4.75400000,1.820,2014
"Kepler-382 b","Transit",1,2,0,8.83576,80.36831,5.26215500,1.320,2014
"Kepler-255 c","Transit",1,3,0,10.75408,79.40697,9.94604700,2.990,2014
"Kepler-248 b","Transit",1,2,0,11.54633,76.24058,6.30820500,3.020,2014
"GJ 180 c","Radial Velocity",1,3,0,-33.72746,216.96953,24.32900000,2.410,2014
"GJ 229 b","Radial Velocity",2,2,0,-18.44091,228.61506,526.11500000,2.850,2014
"Kepler-79 d","Transit",1,4,0,7.23801,79.57854,52.09020000,7.160,2014
"Kepler-106 d","Transit",1,4,0,7.00333,79.67079,23.98020000,0.950,2014
"Kepler-81 d","Transit",1,3,0,10.83017,75.74590,20.83784600,1.210,2014
"Kepler-262 b","Transit",1,2,0,10.31333,69.66537,13.06085500,1.360,2014
"Kepler-414 c","Transit Timing Variations",1,2,0,10.70429,82.06217,7.17100000,3.010,2014
"Kepler-288 d","Transit",1,3,0,12.60684,71.19269,56.63374200,2.670,2014
"Kepler-252 b","Transit",1,2,0,10.38166,77.95933,6.66839100,1.230,2014
"Kepler-401 c","Transit",1,3,0,16.44236,82.17430,47.31821800,2.150,2014
"Kepler-392 b","Transit",1,2,0,14.34264,74.64383,5.34185300,1.000,2014
"Kepler-185 b","Transit",1,2,0,18.69333,73.39808,1.63290000,1.170,2014
"Kepler-417 c","Transit Timing Variations",1,2,0,10.68732,75.76884,15.94300000,2.690,2014
"Kepler-106 e","Transit",1,4,0,7.00333,79.67079,43.84450000,2.560,2014
"Kepler-187 b","Transit",1,2,0,7.52969,79.05757,4.93886400,1.410,2014
"Kepler-206 d","Transit",1,3,0,11.71043,74.16686,23.44281000,1.190,2014
"Kepler-345 b","Transit",1,2,0,11.26477,79.12551,7.41556300,0.740,2014
"Kepler-353 b","Transit",2,2,0,8.22729,75.93297,5.79527800,0.890,2014
"Kepler-285 c","Transit",1,2,0,14.53536,79.87396,6.18667600,1.120,2014
"Kepler-191 c","Transit",1,3,0,13.51221,77.24720,17.73850600,1.860,2014
"Kepler-366 c","Transit",1,2,0,11.74957,82.45718,12.51616000,1.790,2014
"Kepler-367 c","Transit",1,2,0,11.92128,83.40326,53.57863700,1.200,2014
"Kepler-298 c","Transit",1,3,0,19.96081,78.47034,22.92881000,1.930,2014
"Kepler-136 b","Transit",2,2,0,8.88790,76.53433,11.57890000,2.050,2014
"Kepler-324 b","Transit",1,2,0,18.13155,80.09266,4.38531500,1.140,2014
"Kepler-384 c","Transit",1,2,0,16.63717,75.22928,45.34826900,1.130,2014
"Kepler-400 b","Transit",1,2,0,11.58428,72.69190,9.02438900,1.650,2014
"Kepler-206 b","Transit",1,3,0,11.71043,74.16686,7.78198700,1.200,2014
"Kepler-84 e","Transit",1,5,0,6.68858,75.35385,27.43438900,2.600,2014
"Kepler-250 b","Transit",1,3,0,14.04353,75.65661,4.14814100,1.130,2014
"Kepler-239 b","Transit",1,2,0,9.45945,73.99484,11.76305100,2.330,2014
"Kepler-184 b","Transit",1,3,0,12.04501,75.41102,10.68757600,2.360,2014
"Kepler-121 b","Transit",1,2,0,14.57646,70.37852,3.17742200,2.340,2014
"Kepler-248 c","Transit",1,2,0,11.54633,76.24058,16.23949400,4.070,2014
"Kepler-386 b","Transit",1,2,0,15.72041,80.03966,12.31043000,1.390,2014
"Kepler-390 c","Transit",2,2,0,11.43915,73.59209,13.06002200,0.790,2014
"Kepler-151 b","Transit",1,2,0,10.99626,73.60457,15.22895800,3.060,2014
"Kepler-143 b","Transit",1,2,0,11.20876,83.13776,16.00758300,2.410,2014
"Kepler-200 b","Transit",1,2,0,16.40754,71.33871,8.59480500,2.130,2014
"Kepler-235 b","Transit",1,4,0,14.47665,69.97316,3.34022200,2.230,2014
"Kepler-347 c","Transit",1,2,0,16.35836,80.44858,27.32087100,1.750,2014
"Kepler-109 b","Transit",1,2,0,11.87795,72.32578,6.48163000,2.370,2014
"Kepler-166 b","Transit",1,3,0,13.81924,81.14899,7.65025400,2.270,2014
"Kepler-192 b","Transit",1,3,0,15.71410,76.53877,9.92674600,2.740,2014
"Kepler-164 b","Transit",1,3,0,16.58456,78.45857,5.03503000,1.410,2014
"Kepler-150 c","Transit",1,5,0,13.46754,71.83343,7.38199800,3.690,2014
"Kepler-243 b","Transit",1,2,0,16.22140,72.31271,5.71544200,2.450,2014
"Kepler-354 c","Transit",1,3,0,15.51241,71.83164,16.93440200,1.310,2014
"Kepler-207 d","Transit",1,3,0,12.92920,73.94724,5.86807500,3.310,2014
"Kepler-164 c","Transit",1,3,0,16.58456,78.45857,10.94572300,2.730,2014
"Kepler-146 c","Transit",1,2,0,8.60743,72.21386,76.73217100,3.130,2014
"Kepler-166 c","Transit",1,3,0,13.81924,81.14899,34.26028100,2.380,2014
"GJ 15 A b","Radial Velocity",2,2,0,-18.44687,116.69017,11.44070000,1.550,2014
"HD 14067 b","Radial Velocity",1,1,0,-35.05762,147.04613,1455.00000000,12.600,2014
"Kepler-265 c","Transit",1,4,0,12.21177,73.25046,17.02893700,2.630,2014
"NGC 2682 YBP 1514 b","Radial Velocity",1,1,0,31.86855,215.56882,5.11800000,14.000,2014
"HAT-P-45 b","Transit",1,1,0,5.98199,26.02156,3.12899200,15.984,2014
"bet Cnc b","Radial Velocity",2,1,0,23.04731,214.25329,605.20000000,12.600,2014
"mu Leo b","Radial Velocity",1,1,0,50.24481,204.04525,357.80000000,13.300,2014
"Kepler-419 c","Transit Timing Variations",1,2,0,13.53223,83.93458,675.47000000,12.600,2014
"Kepler-121 c","Transit",1,2,0,14.57646,70.37852,41.00801100,2.270,2014
"Kepler-130 b","Transit",2,3,0,13.20337,71.64555,8.45745800,1.020,2014
"Kepler-102 d","Transit",1,5,0,20.43475,76.48359,10.31170000,1.180,2014
"Kepler-162 b","Transit",1,2,0,8.91719,77.82088,6.91979800,1.260,2014
"Kepler-183 b","Transit",1,2,0,9.28857,72.54342,5.68794500,2.060,2014
"Kepler-286 b","Transit",1,4,0,15.06379,79.88642,1.79630200,1.240,2014
"Kepler-153 b","Transit",1,2,0,20.14233,77.76651,18.87022700,2.920,2014
"Kepler-186 b","Transit",1,5,0,8.17058,78.51990,3.88679070,1.070,2014
"Kepler-188 c","Transit",1,2,0,19.64002,73.51949,5.99655300,3.190,2014
"Kepler-187 c","Transit",1,2,0,7.52969,79.05757,10.64026300,2.670,2014
"Kepler-188 b","Transit",1,2,0,19.64002,73.51949,2.06189700,1.680,2014
"Kepler-190 b","Transit",1,2,0,14.94343,75.91261,2.01999900,1.560,2014
"Kepler-201 b","Transit",1,2,0,10.12709,74.33875,25.67208300,2.460,2014
"Kepler-203 b","Transit",1,3,0,7.89379,75.69361,3.16269700,2.570,2014
"Kepler-207 c","Transit",1,3,0,12.92920,73.94724,3.07157100,1.500,2014
"Kepler-221 c","Transit",1,4,0,10.80167,80.37293,5.69058600,2.930,2014
"Kepler-160 c","Transit",1,3,0,14.73466,73.90270,13.69942900,3.760,2014
"Kepler-158 c","Transit",1,2,0,16.12696,69.82072,28.55138300,1.900,2014
"Kepler-205 b","Transit",1,2,0,16.03463,72.19760,2.75564000,1.510,2014
"Kepler-212 b","Transit",1,2,0,14.94551,74.11519,16.25758200,1.090,2014
"Kepler-221 e","Transit",1,4,0,10.80167,80.37293,18.36991700,2.630,2014
"Kepler-189 c","Transit",1,2,0,15.44130,75.20665,20.13486600,2.380,2014
"Kepler-160 b","Transit",1,3,0,14.73466,73.90270,4.30939700,1.715,2014
"Kepler-158 b","Transit",1,2,0,16.12696,69.82072,16.70918400,2.120,2014
"Kepler-223 d","Transit",1,4,0,10.02398,81.32513,14.78869000,5.240,2014
"Kepler-208 b","Transit",1,4,0,10.52882,75.56386,4.22864000,1.630,2014
"Kepler-161 b","Transit",1,2,0,12.99462,74.95576,4.92135500,2.120,2014
"Kepler-229 b","Transit",1,3,0,17.34816,78.97779,6.25297200,2.200,2014
"Kepler-208 d","Transit",1,4,0,10.52882,75.56386,11.13178600,1.200,2014
"Kepler-161 c","Transit",1,2,0,12.99462,74.95576,7.06424000,2.050,2014
"Kepler-216 b","Transit",1,2,0,12.26418,78.78512,7.69364100,2.350,2014
"Kepler-220 b","Transit",1,4,0,13.97444,78.81162,4.15980700,0.810,2014
"Kepler-208 e","Transit",1,4,0,10.52882,75.56386,16.25945800,1.480,2014
"Kepler-209 c","Transit",1,2,0,12.37222,74.75577,41.74988200,3.100,2014
"Kepler-210 b","Transit",1,2,0,11.68733,75.60062,2.45323400,2.940,2014
"Kepler-210 c","Transit",1,2,0,11.68733,75.60062,7.97251300,3.620,2014
"Kepler-221 b","Transit",1,4,0,10.80167,80.37293,2.79590600,1.710,2014
"Kepler-184 d","Transit",1,3,0,12.04501,75.41102,29.02235800,2.490,2014
"Kepler-241 c","Transit",1,2,0,10.50791,73.89816,36.06597800,2.570,2014
"Kepler-195 c","Transit",1,2,0,16.50144,78.87415,34.09686300,1.550,2014
"Kepler-242 c","Transit",1,2,0,15.13516,72.52885,14.49648100,2.000,2014
"Kepler-172 c","Transit",1,4,0,17.34751,71.60688,6.38899600,2.860,2014
"Kepler-196 b","Transit",1,2,0,16.33606,72.31497,20.73988600,1.900,2014
"Kepler-327 c","Transit",1,3,0,12.04240,76.56618,5.21233300,1.030,2014
"Kepler-322 b","Transit",1,2,0,19.58672,73.51645,1.65388800,1.010,2014
"Kepler-313 b","Transit",1,2,0,10.76951,82.64379,14.97041800,2.530,2014
"Kepler-301 d","Transit",1,3,0,19.50898,79.09376,13.75124300,1.750,2014
"Kepler-296 f","Transit",2,5,0,18.01445,79.90117,63.33627000,1.800,2014
"Kepler-297 b","Transit",1,2,0,19.83985,78.46058,38.87182600,2.870,2014
"Kepler-301 b","Transit",1,3,0,19.50898,79.09376,2.50855300,1.350,2014
"Kepler-275 b","Transit",1,3,0,9.64684,71.44115,10.30068200,2.340,2014
"Kepler-247 d","Transit",1,3,0,14.22116,74.32823,20.47791200,3.940,2014
"HD 141399 e","Radial Velocity",1,4,0,50.45641,74.98872,5000.00000000,14.100,2014
"HIP 105854 b","Radial Velocity",1,1,0,-46.01534,5.44967,184.20000000,12.600,2014
"HIP 116454 b","Transit",2,1,0,-56.97306,86.45885,9.12050000,2.466,2014
"HD 108341 b","Radial Velocity",2,1,0,-8.64016,301.00794,1129.00000000,13.100,2014
"KELT-6 b","Transit",1,2,0,85.54996,85.77535,7.84570000,14.572,2014
"Kepler-100 d","Transit",1,3,0,11.94515,74.22764,35.33310000,1.610,2014
"Kepler-149 b","Transit",1,3,0,14.28192,69.05421,29.19894300,4.210,2014
"Kepler-101 b","Transit",1,2,0,19.67348,78.04679,3.48768120,5.770,2014
"Kepler-103 b","Transit",1,2,0,12.75709,71.65202,15.96540000,3.370,2014
"Kapteyn c","Radial Velocity",1,1,0,-35.97592,250.56446,121.54000000,2.540,2014
"Kepler-127 b","Transit",1,3,0,17.64003,76.21619,14.43588900,1.400,2014
"Kepler-149 c","Transit",1,3,0,14.28192,69.05421,55.32832800,1.610,2014
"Kepler-129 b","Transit",1,2,0,18.21023,78.03530,15.79186000,2.370,2014
"Kepler-107 c","Transit",1,4,0,11.23255,81.72606,4.90145200,1.597,2014
"Kepler-111 b","Transit",1,2,0,12.94056,76.80348,3.34181500,1.580,2014
"Kepler-111 c","Transit",1,2,0,12.94056,76.80348,224.78460800,7.300,2014
"Kepler-156 b","Transit",1,2,0,10.84034,69.96483,4.97345600,2.300,2014
"Kepler-337 b","Transit",1,2,0,14.98246,78.64292,3.29278100,1.540,2014
"Kepler-245 b","Transit",1,4,0,11.97179,74.72154,7.49019000,2.570,2014
"Kepler-212 c","Transit",1,2,0,14.94551,74.11519,31.80517400,2.740,2014
"Kepler-214 c","Transit",1,2,0,17.53880,75.05181,28.77980000,2.130,2014
"Kepler-215 b","Transit",1,4,0,11.07277,78.35687,9.36067200,1.620,2014
"Kepler-217 c","Transit",1,3,0,12.75822,78.70435,8.58600400,1.850,2014
"Kepler-229 d","Transit",1,3,0,17.34816,78.97779,41.19491200,3.850,2014
"Kepler-23 d","Transit",1,3,0,13.45799,82.01371,15.27429900,2.200,2014
"Kepler-236 b","Transit",1,2,0,16.28889,69.88341,8.29561100,1.570,2014
"Kepler-326 d","Transit",1,3,0,11.83690,78.86026,6.76688800,1.210,2014
"Kepler-238 c","Transit",1,5,0,13.74892,71.83506,6.15555700,2.390,2014
"Kepler-245 c","Transit",1,4,0,11.97179,74.72154,17.46081200,2.180,2014
"Kepler-205 c","Transit",1,2,0,16.03463,72.19760,20.30654600,1.640,2014
"Kepler-206 c","Transit",1,3,0,11.71043,74.16686,13.13747100,1.770,2014
"Kepler-208 c","Transit",1,4,0,10.52882,75.56386,7.46662300,1.390,2014
"Kepler-216 c","Transit",1,2,0,12.26418,78.78512,17.40666900,3.040,2014
"Kepler-224 c","Transit",1,4,0,14.52091,79.07683,5.92500300,3.120,2014
"Kepler-224 d","Transit",1,4,0,14.52091,79.07683,11.34939300,2.300,2014
"Kepler-243 c","Transit",1,2,0,16.22140,72.31271,20.02621800,1.990,2014
"Kepler-232 b","Transit",1,2,0,13.28087,83.99267,4.43122200,3.080,2014
"Kepler-245 d","Transit",1,4,0,11.97179,74.72154,36.27710800,3.030,2014
"Kepler-230 c","Transit",1,2,0,18.18766,78.78362,91.77324200,2.040,2014
"Kepler-249 d","Transit",1,3,0,9.07073,77.65836,15.36845900,1.570,2014
"Kepler-24 d","Transit",1,4,0,11.01831,70.54989,4.24438400,1.670,2014
"Kepler-246 b","Transit",1,2,0,8.90874,76.59735,4.60182000,2.340,2014
"Kepler-246 c","Transit",1,2,0,8.90874,76.59735,11.18716100,1.500,2014
"Kepler-256 d","Transit",1,4,0,12.96405,78.39607,5.83917200,2.480,2014
"Kepler-26 d","Transit",1,4,0,17.99282,76.67999,3.54391900,1.070,2014
"Kepler-262 c","Transit",1,2,0,10.31333,69.66537,21.85372200,1.640,2014
"Kepler-228 c","Transit",1,3,0,11.67615,81.50262,4.13444400,2.700,2014
"Kepler-230 b","Transit",1,2,0,18.18766,78.78362,32.62555500,4.260,2014
"Kepler-254 c","Transit",1,3,0,15.64277,76.82240,12.41218300,2.150,2014
"Kepler-255 b","Transit",1,3,0,10.75408,79.40697,5.71460600,1.550,2014
"Kepler-256 b","Transit",1,4,0,12.96405,78.39607,1.62049300,1.590,2014
"Kepler-257 b","Transit",1,3,0,10.01236,79.87071,2.38266700,2.610,2014
"Kepler-257 d","Transit",1,3,0,10.01236,79.87071,24.66455100,4.950,2014
"Kepler-258 b","Transit",1,2,0,12.25592,79.30454,13.19722000,4.060,2014
"Kepler-259 c","Transit",1,2,0,15.92400,77.59990,36.92493100,2.700,2014
"Kepler-26 e","Transit",1,4,0,17.99282,76.67999,46.82791500,2.410,2014
"Kepler-254 b","Transit",1,3,0,15.64277,76.82240,5.82666200,3.870,2014
"Kepler-265 b","Transit",1,4,0,12.21177,73.25046,6.84626200,1.860,2014
"Kepler-267 c","Transit",1,3,0,9.07311,81.73773,6.87745000,2.130,2014
"Kepler-306 e","Transit",1,4,0,13.29617,72.02081,44.84097500,2.270,2014
"Kepler-231 c","Transit",1,2,0,14.06137,82.91642,19.27156600,1.930,2014
"Kepler-265 e","Transit",1,4,0,12.21177,73.25046,67.83102400,2.590,2014
"Kepler-292 b","Transit",1,5,0,9.25750,76.12806,2.58082700,1.320,2014
"Kepler-271 c","Transit",1,3,0,18.46832,73.92797,7.41086267,0.950,2014
"Kepler-286 c","Transit",1,4,0,15.06379,79.88642,3.46809500,1.370,2014
"Kepler-286 e","Transit",1,4,0,15.06379,79.88642,29.22128900,1.770,2014
"Kepler-271 b","Transit",1,3,0,18.46832,73.92797,10.43547805,1.230,2014
"Kepler-272 b","Transit",1,3,0,9.70399,81.87731,2.97135300,1.430,2014
"Kepler-278 b","Transit",1,2,0,11.39023,70.77221,30.16054600,4.070,2014
"Kepler-292 c","Transit",1,5,0,9.25750,76.12806,3.71533500,1.470,2014
"Kepler-282 b","Transit",1,4,0,17.53304,74.87605,9.22052400,1.010,2014
"Kepler-157 c","Transit",1,3,0,10.77283,71.27591,13.54050000,2.240,2014
"Kepler-126 b","Transit",1,3,0,14.23267,75.64407,10.49571100,1.520,2014
"Kepler-150 d","Transit",1,5,0,13.46754,71.83343,12.56093000,2.790,2014
